window_size,alphabet_size,f1_val,f1_test,state_count,transition_density
3,3,0.0,0.0,26,0.10059171597633136
3,4,0.0,0.016877637130801686,54,0.046296296296296294
3,5,0.0,0.013201320132013201,100,0.0237
3,6,0.0,0.010666666666666666,143,0.01506186121570737
4,3,0.0,0.011904761904761904,70,0.02836734693877551
4,4,0.0,0.017316017316017316,138,0.013180004200798151
4,5,0.0,0.028070175438596492,220,0.007293388429752066
4,6,0.0,0.03361344537815126,286,0.005171402024548878
5,3,0.0,0.0,140,0.01173469387755102
5,4,0.0,0.0,248,0.005495577523413111
5,5,0.0,0.0,314,0.003935250922958335
5,6,0.0,0.0,383,0.00296545753260299
6,3,0.0,0.0,161,0.008101539292465569
6,4,0.0,0.0,271,0.004357239144347163
6,5,0.0,0.0,315,0.003547493071302595
6,6,0.0,0.0,351,0.0030843905487780133
