time_step,state,pattern,status,mapped_to,probability,path_probability,decision,confidence,distance
1,dcad,cada,known,cada,0.25,0.25,normal,0.25,0
2,cada,adad,known,adad,1.0,0.25,normal,1.0,0
3,adad,dadd,known,dadd,1.0,0.25,normal,1.0,0
4,dadd,adda,known,adda,0.5,0.125,normal,0.5,0
5,adda,ddab,known,ddab,0.0,1.25e-05,anomaly,0.0,0
6,ddab,dabb,known,dabb,0.25,3.125e-06,normal,0.25,0
7,dabb,abbd,known,abbd,0.0,3.125e-10,anomaly,0.0,0
8,abbd,bbdd,known,bbdd,1.0,3.125e-10,normal,1.0,0
9,bbdd,bddd,known,bddd,0.0,3.125e-14,anomaly,0.0,0
10,bddd,ddda,known,ddda,0.0,3.125e-18,anomaly,0.0,0
11,ddda,ddaa,known,ddaa,0.5,1.5625e-18,normal,0.5,0
12,ddaa,daab,known,daab,0.09523809523809523,1.488095238095238e-19,anomaly,0.09523809523809523,0
13,daab,aaba,known,aaba,0.3333333333333333,4.9603174603174596e-20,normal,0.3333333333333333,0
14,aaba,abac,known,abac,0.0,4.96031746031746e-24,anomaly,0.0,0
15,abac,bacd,known,bacd,1.0,4.96031746031746e-24,normal,1.0,0
16,bacd,acdd,known,acdd,1.0,4.96031746031746e-24,normal,1.0,0
17,acdd,cddc,known,cddc,0.25,1.240079365079365e-24,normal,0.25,0
18,cddc,ddcd,known,ddcd,1.0,1.240079365079365e-24,normal,1.0,0
19,ddcd,dcda,known,dcda,0.75,9.300595238095236e-25,normal,0.75,0
20,dcda,cdad,known,cdad,0.0,9.300595238095237e-29,anomaly,0.0,0
21,cdad,dadd,known,dadd,1.0,9.300595238095237e-29,normal,1.0,0
22,dadd,addc,known,addc,0.25,2.3251488095238091e-29,normal,0.25,0
23,addc,ddcd,known,ddcd,0.9,2.0926339285714284e-29,normal,0.9,0
24,ddcd,dcdc,known,dcdc,0.16666666666666666,3.487723214285714e-30,anomaly,0.16666666666666666,0
25,dcdc,cdca,known,cdca,1.0,3.487723214285714e-30,normal,1.0,0
26,cdca,dcaa,known,dcaa,0.75,2.615792410714285e-30,normal,0.75,0
27,dcaa,caad,known,caad,0.375,9.80922154017857e-31,normal,0.375,0
28,caad,aada,known,aada,0.25,2.4523053850446423e-31,normal,0.25,0
29,aada,adac,known,adac,0.1111111111111111,2.7247837611607133e-32,anomaly,0.1111111111111111,0
30,adac,dacd,known,dacd,1.0,2.7247837611607133e-32,normal,1.0,0
31,dacd,acdc,known,acdc,0.25,6.811959402901783e-33,normal,0.25,0
32,acdc,cdcd,known,cdcd,0.3333333333333333,2.2706531343005942e-33,normal,0.3333333333333333,0
33,cdcd,dcdd,known,dcdd,1.0,2.2706531343005942e-33,normal,1.0,0
34,dcdd,cdda,known,cdda,0.625,1.4191582089378713e-33,normal,0.625,0
35,cdda,ddac,known,ddac,0.125,1.773947761172339e-34,anomaly,0.125,0
36,ddac,dacd,known,dacd,0.2,3.5478955223446784e-35,normal,0.2,0
37,dacd,acda,known,acda,0.5,1.7739477611723392e-35,normal,0.5,0
38,acda,cdad,known,cdad,1.0,1.7739477611723392e-35,normal,1.0,0
39,cdad,dadd,known,dadd,1.0,1.7739477611723392e-35,normal,1.0,0
40,dadd,adda,known,adda,0.5,8.869738805861696e-36,normal,0.5,0
41,adda,ddaa,known,ddaa,0.4166666666666667,3.695724502442374e-36,normal,0.4166666666666667,0
42,ddaa,daaa,known,daaa,0.38095238095238093,1.4078950485494756e-36,normal,0.38095238095238093,0
43,daaa,aaaa,known,aaaa,0.9333333333333333,1.3140353786461773e-36,normal,0.9333333333333333,0
44,aaaa,aaad,known,aaad,0.48148148148148145,6.326837008296409e-37,normal,0.48148148148148145,0
45,aaad,aadd,known,aadd,0.9285714285714286,5.87492007913238e-37,normal,0.9285714285714286,0
46,aadd,addc,known,addc,0.3333333333333333,1.9583066930441265e-37,normal,0.3333333333333333,0
47,addc,ddcd,known,ddcd,0.9,1.7624760237397138e-37,normal,0.9,0
48,ddcd,dcdb,known,dcdb,0.0,1.7624760237397138e-41,anomaly,0.0,0
49,dcdb,cdba,known,cdba,1.0,1.7624760237397138e-41,normal,1.0,0
50,cdba,dbac,known,dbac,0.0,1.762476023739714e-45,anomaly,0.0,0
51,dbac,bacd,known,bacd,0.0,1.762476023739714e-49,anomaly,0.0,0
52,bacd,acdd,known,acdd,1.0,1.762476023739714e-49,normal,1.0,0
53,acdd,cdda,known,cdda,0.75,1.3218570178047855e-49,normal,0.75,0
54,cdda,ddaa,known,ddaa,0.625,8.261606361279909e-50,normal,0.625,0
55,ddaa,daaa,known,daaa,0.38095238095238093,3.1472786138209173e-50,normal,0.38095238095238093,0
56,daaa,aaaa,known,aaaa,0.9333333333333333,2.9374600395661897e-50,normal,0.9333333333333333,0
57,aaaa,aaac,known,aaac,0.1111111111111111,3.263844488406877e-51,anomaly,0.1111111111111111,0
58,aaac,aacb,known,aacb,0.0,3.263844488406878e-55,anomaly,0.0,0
59,aacb,acbd,known,acbd,1.0,3.263844488406878e-55,normal,1.0,0
60,acbd,cbdd,known,cbdd,1.0,3.263844488406878e-55,normal,1.0,0
61,cbdd,bddc,known,bddc,0.3333333333333333,1.0879481628022925e-55,normal,0.3333333333333333,0
62,bddc,ddcd,known,ddcd,0.0,1.0879481628022926e-59,anomaly,0.0,0
63,ddcd,dcdd,known,dcdd,0.08333333333333333,9.066234690019104e-61,anomaly,0.08333333333333333,0
64,dcdd,cdda,known,cdda,0.625,5.66639668126194e-61,normal,0.625,0
65,cdda,ddaa,known,ddaa,0.625,3.5414979257887124e-61,normal,0.625,0
66,ddaa,daac,known,daac,0.14285714285714285,5.059282751126732e-62,anomaly,0.14285714285714285,0
67,daac,aaca,known,aaca,0.5,2.529641375563366e-62,normal,0.5,0
68,aaca,acac,unseen,adac,0.0,2.529641375563366e-66,anomaly,0.0,1
69,adac,cacd,unseen,dacd,1.0,2.529641375563366e-66,normal,1.0,1
70,dacd,acdc,known,acdc,0.25,6.324103438908415e-67,normal,0.25,0
71,acdc,cdcc,known,cdcc,0.0,6.324103438908415e-71,anomaly,0.0,0
72,cdcc,dccd,known,dccd,1.0,6.324103438908415e-71,normal,1.0,0
73,dccd,ccda,known,ccda,1.0,6.324103438908415e-71,normal,1.0,0
74,ccda,cdad,known,cdad,0.0,6.324103438908415e-75,anomaly,0.0,0
75,cdad,dadc,unseen,dadd,1.0,6.324103438908415e-75,normal,1.0,1
76,dadd,adcb,known,adcb,0.0,6.324103438908415e-79,anomaly,0.0,0
77,adcb,dcba,unseen,dcbd,1.0,6.324103438908415e-79,normal,1.0,1
78,dcbd,cbad,unseen,cbdd,0.0,6.324103438908416e-83,anomaly,0.0,1
79,cbdd,badc,unseen,aadc,0.0,6.324103438908416e-87,anomaly,0.0,1
80,aadc,adcd,known,adcd,0.75,4.743077579181312e-87,normal,0.75,0
81,adcd,dcdd,known,dcdd,0.5714285714285714,2.710330045246464e-87,normal,0.5714285714285714,0
82,dcdd,cdda,known,cdda,0.625,1.69395627827904e-87,normal,0.625,0
83,cdda,ddaa,known,ddaa,0.625,1.0587226739243999e-87,normal,0.625,0
84,ddaa,daaa,known,daaa,0.38095238095238093,4.033229233997714e-88,normal,0.38095238095238093,0
85,daaa,aaaa,known,aaaa,0.9333333333333333,3.764347285064533e-88,normal,0.9333333333333333,0
86,aaaa,aaad,known,aaad,0.48148148148148145,1.812463507623664e-88,normal,0.48148148148148145,0
87,aaad,aadd,known,aadd,0.9285714285714286,1.683001828507688e-88,normal,0.9285714285714286,0
88,aadd,addd,known,addd,0.16666666666666666,2.8050030475128134e-89,anomaly,0.16666666666666666,0
89,addd,dddd,known,dddd,0.8,2.244002438010251e-89,normal,0.8,0
90,dddd,dddd,known,dddd,0.0,2.2440024380102512e-93,anomaly,0.0,0
91,dddd,ddda,known,ddda,0.75,1.6830018285076884e-93,normal,0.75,0
92,ddda,ddad,known,ddad,0.0,1.6830018285076885e-97,anomaly,0.0,0
93,ddad,dadd,known,dadd,0.0,1.6830018285076887e-101,anomaly,0.0,0
94,dadd,addd,known,addd,0.125,2.103752285634611e-102,anomaly,0.125,0
95,addd,dddd,known,dddd,0.8,1.6830018285076887e-102,normal,0.8,0
96,dddd,dddb,known,dddb,0.25,4.2075045712692217e-103,normal,0.25,0
97,dddb,ddba,known,ddba,1.0,4.2075045712692217e-103,normal,1.0,0
98,ddba,dbaa,known,dbaa,0.5,2.1037522856346108e-103,normal,0.5,0
99,dbaa,baac,unseen,bdac,0.0,2.103752285634611e-107,anomaly,0.0,1
100,bdac,aaca,known,aaca,0.0,2.1037522856346112e-111,anomaly,0.0,0
101,aaca,acab,known,acab,0.5,1.0518761428173056e-111,normal,0.5,0
102,acab,cabc,unseen,cabd,1.0,1.0518761428173056e-111,normal,1.0,1
103,cabd,abca,unseen,abda,0.25,2.629690357043264e-112,normal,0.25,1
104,abda,bcad,unseen,baad,0.0,2.629690357043264e-116,anomaly,0.0,1
105,baad,cadd,unseen,dadd,0.0,2.629690357043264e-120,anomaly,0.0,1
106,dadd,adda,known,adda,0.5,1.314845178521632e-120,normal,0.5,0
107,adda,ddaa,known,ddaa,0.4166666666666667,5.478521577173467e-121,normal,0.4166666666666667,0
108,ddaa,daaa,known,daaa,0.38095238095238093,2.0870558389232253e-121,normal,0.38095238095238093,0
109,daaa,aaaa,known,aaaa,0.9333333333333333,1.9479187829950103e-121,normal,0.9333333333333333,0
110,aaaa,aaad,known,aaad,0.48148148148148145,9.378868214420419e-122,normal,0.48148148148148145,0
111,aaad,aadd,known,aadd,0.9285714285714286,8.708949056247532e-122,normal,0.9285714285714286,0
112,aadd,adda,known,adda,0.3333333333333333,2.902983018749177e-122,normal,0.3333333333333333,0
113,adda,ddaa,known,ddaa,0.4166666666666667,1.2095762578121571e-122,normal,0.4166666666666667,0
114,ddaa,daaa,known,daaa,0.38095238095238093,4.607909553570122e-123,normal,0.38095238095238093,0
115,daaa,aaaa,known,aaaa,0.9333333333333333,4.300715583332114e-123,normal,0.9333333333333333,0
116,aaaa,aaac,known,aaac,0.1111111111111111,4.7785728703690155e-124,anomaly,0.1111111111111111,0
117,aaac,aacd,known,aacd,1.0,4.7785728703690155e-124,normal,1.0,0
118,aacd,acda,known,acda,0.0,4.778572870369016e-128,anomaly,0.0,0
119,acda,cdaa,known,cdaa,0.0,4.778572870369016e-132,anomaly,0.0,0
120,cdaa,daaa,known,daaa,0.3157894736842105,1.5090230116954786e-132,normal,0.3157894736842105,0
121,daaa,aaaa,known,aaaa,0.9333333333333333,1.4084214775824467e-132,normal,0.9333333333333333,0
