time_step,state,pattern,status,mapped_to,probability,path_probability,decision,confidence,distance
1,eabbf,abbfe,unseen,abffe,0.0,0.0001,anomaly,0.0,1
2,abffe,bbfea,unseen,cbfea,0.0,1e-08,anomaly,0.0,1
3,cbfea,bfead,unseen,bfeab,0.5,5e-09,normal,0.5,1
4,bfeab,feade,unseen,aeade,0.0,5e-13,anomaly,0.0,1
5,aeade,eadef,unseen,eadec,1.0,5e-13,normal,1.0,1
6,eadec,adefb,unseen,adafb,0.0,5e-17,anomaly,0.0,1
7,adafb,defba,unseen,fefba,0.0,5.0000000000000005e-21,anomaly,0.0,1
8,fefba,efbab,unseen,afbab,0.0,5.0000000000000005e-25,anomaly,0.0,1
9,afbab,fbaba,unseen,fbaaa,0.0,5.000000000000001e-29,anomaly,0.0,1
10,fbaaa,babaf,unseen,bfbaf,0.0,5.000000000000001e-33,anomaly,0.0,1
11,bfbaf,abaff,known,abaff,0.0,5.000000000000001e-37,anomaly,0.0,0
12,abaff,bafff,unseen,bafbf,0.0,5.000000000000002e-41,anomaly,0.0,1
13,bafbf,afffd,unseen,acffd,0.0,5.0000000000000016e-45,anomaly,0.0,1
14,acffd,fffda,unseen,affda,0.0,5.000000000000002e-49,anomaly,0.0,1
15,affda,ffdaf,unseen,ffdaa,1.0,5.000000000000002e-49,normal,1.0,1
16,ffdaa,fdafe,unseen,adafe,0.0,5.000000000000003e-53,anomaly,0.0,1
17,adafe,dafef,unseen,cafef,0.0,5.000000000000003e-57,anomaly,0.0,1
18,cafef,afefa,known,afefa,1.0,5.000000000000003e-57,normal,1.0,0
19,afefa,fefaa,known,fefaa,1.0,5.000000000000003e-57,normal,1.0,0
20,fefaa,efaad,known,efaad,0.25,1.2500000000000008e-57,normal,0.25,0
21,efaad,faadb,unseen,faada,1.0,1.2500000000000008e-57,normal,1.0,1
22,faada,aadbd,unseen,aaefd,0.0,1.2500000000000008e-61,anomaly,0.0,2
23,aaefd,adbde,unseen,adafe,0.0,1.2500000000000008e-65,anomaly,0.0,2
24,adafe,dbdef,unseen,dadaf,0.0,1.2500000000000009e-69,anomaly,0.0,2
25,dadaf,bdeff,unseen,bfeff,0.0,1.2500000000000009e-73,anomaly,0.0,1
26,bfeff,deffa,unseen,feffa,1.0,1.2500000000000009e-73,normal,1.0,1
27,feffa,effaf,known,effaf,0.5,6.2500000000000045e-74,normal,0.5,0
28,effaf,ffafa,known,ffafa,1.0,6.2500000000000045e-74,normal,1.0,0
29,ffafa,fafaf,known,fafaf,1.0,6.2500000000000045e-74,normal,1.0,0
30,fafaf,afafb,known,afafb,0.0,6.250000000000004e-78,anomaly,0.0,0
31,afafb,fafba,unseen,cafba,0.0,6.250000000000004e-82,anomaly,0.0,1
32,cafba,afbaa,known,afbaa,1.0,6.250000000000004e-82,normal,1.0,0
33,afbaa,fbaaa,known,fbaaa,0.0,6.2500000000000045e-86,anomaly,0.0,0
34,fbaaa,baaaf,known,baaaf,1.0,6.2500000000000045e-86,normal,1.0,0
35,baaaf,aaafe,known,aaafe,0.25,1.5625000000000011e-86,normal,0.25,0
36,aaafe,aafef,known,aafef,0.5,7.812500000000006e-87,normal,0.5,0
37,aafef,afefa,known,afefa,0.0,7.812500000000006e-91,anomaly,0.0,0
38,afefa,fefaa,known,fefaa,1.0,7.812500000000006e-91,normal,1.0,0
39,fefaa,efaaf,known,efaaf,0.5,3.906250000000003e-91,normal,0.5,0
40,efaaf,faaff,known,faaff,0.5,1.9531250000000015e-91,normal,0.5,0
41,faaff,aaffb,unseen,aaffc,0.0,1.9531250000000016e-95,anomaly,0.0,1
42,aaffc,affba,unseen,affda,0.0,1.953125000000002e-99,anomaly,0.0,1
43,affda,ffbaa,unseen,cfbaa,0.0,1.953125000000002e-103,anomaly,0.0,1
44,cfbaa,fbaad,unseen,fbaaa,1.0,1.953125000000002e-103,normal,1.0,1
45,fbaaa,baadd,unseen,bafdd,0.0,1.953125000000002e-107,anomaly,0.0,1
46,bafdd,aaddf,unseen,aadaf,0.0,1.953125000000002e-111,anomaly,0.0,1
47,aadaf,addfe,unseen,adafe,0.0,1.953125000000002e-115,anomaly,0.0,1
48,adafe,ddfef,unseen,adfbf,0.0,1.953125000000002e-119,anomaly,0.0,2
49,adfbf,dfeff,unseen,bfeff,0.0,1.953125000000002e-123,anomaly,0.0,1
50,bfeff,feffa,known,feffa,1.0,1.953125000000002e-123,normal,1.0,0
51,feffa,effac,unseen,affac,0.0,1.953125000000002e-127,anomaly,0.0,1
52,affac,ffaca,unseen,fdaca,0.0,1.953125000000002e-131,anomaly,0.0,1
53,fdaca,facaf,unseen,faeaf,0.0,1.953125000000002e-135,anomaly,0.0,1
54,faeaf,acafe,known,acafe,0.0,1.9531250000000022e-139,anomaly,0.0,0
55,acafe,cafee,unseen,fafee,0.0,1.9531250000000022e-143,anomaly,0.0,1
56,fafee,afeef,known,afeef,0.0,1.9531250000000024e-147,anomaly,0.0,0
57,afeef,feefa,known,feefa,1.0,1.9531250000000024e-147,normal,1.0,0
