time_step,actual_label,prediction_probability,decision
1,0,0.4996834695339203,normal
2,0,0.5207870006561279,anomaly
3,0,0.5021764039993286,anomaly
4,0,0.5035313367843628,anomaly
5,0,0.5206432342529297,anomaly
6,0,0.527684211730957,anomaly
7,0,0.5126956701278687,anomaly
8,0,0.4970032870769501,normal
9,0,0.47375166416168213,normal
10,0,0.4404803514480591,normal
11,0,0.4136738181114197,normal
12,0,0.4026130139827728,normal
13,0,0.40121403336524963,normal
14,0,0.41989922523498535,normal
15,0,0.4763374328613281,normal
16,0,0.5109896659851074,anomaly
17,0,0.5147167444229126,anomaly
18,0,0.512326717376709,anomaly
19,0,0.49695631861686707,normal
20,0,0.48033642768859863,normal
21,0,0.468129426240921,normal
22,0,0.4593219459056854,normal
23,0,0.464026540517807,normal
24,0,0.5047889351844788,anomaly
25,0,0.5202676653862,anomaly
26,0,0.5237354040145874,anomaly
27,0,0.5110817551612854,anomaly
28,0,0.5125988721847534,anomaly
29,0,0.5190508365631104,anomaly
30,0,0.5208383202552795,anomaly
31,0,0.49014630913734436,normal
32,0,0.45308101177215576,normal
33,0,0.4170777201652527,normal
34,0,0.39688539505004883,normal
35,0,0.41453415155410767,normal
36,0,0.44618332386016846,normal
37,0,0.49702879786491394,normal
38,0,0.5051654577255249,anomaly
39,0,0.5060415267944336,anomaly
40,0,0.5072256326675415,anomaly
41,0,0.5046930313110352,anomaly
42,0,0.5178778767585754,anomaly
43,0,0.5007643103599548,anomaly
44,0,0.5153926610946655,anomaly
45,0,0.5123196840286255,anomaly
46,0,0.5122864842414856,anomaly
47,0,0.5170707702636719,anomaly
48,0,0.5180772542953491,anomaly
49,0,0.5241963863372803,anomaly
50,0,0.5259238481521606,anomaly
51,0,0.5269964933395386,anomaly
52,0,0.519273042678833,anomaly
53,0,0.5053649544715881,anomaly
54,0,0.49963706731796265,normal
55,0,0.5090346336364746,anomaly
56,0,0.4612606167793274,normal
57,0,0.4205290973186493,normal
58,0,0.39438340067863464,normal
59,0,0.38315558433532715,normal
60,0,0.38021036982536316,normal
61,0,0.38290369510650635,normal
62,0,0.39142853021621704,normal
63,0,0.42953458428382874,normal
64,0,0.46286147832870483,normal
65,0,0.4891482889652252,normal
66,0,0.46654045581817627,normal
67,0,0.4465903043746948,normal
68,0,0.42083388566970825,normal
69,0,0.40603387355804443,normal
70,0,0.41151678562164307,normal
71,0,0.42026662826538086,normal
72,0,0.4743213355541229,normal
73,0,0.5131521224975586,anomaly
74,0,0.5261659622192383,anomaly
75,0,0.5216493606567383,anomaly
76,0,0.5286703109741211,anomaly
77,0,0.5292792320251465,anomaly
78,0,0.5259646773338318,anomaly
79,0,0.515217125415802,anomaly
80,0,0.5129421949386597,anomaly
81,0,0.503781795501709,anomaly
82,0,0.4950258433818817,normal
83,0,0.4876977205276489,normal
84,0,0.48187392950057983,normal
85,0,0.5125253200531006,anomaly
86,0,0.5198764801025391,anomaly
87,0,0.5274416208267212,anomaly
88,0,0.5193408131599426,anomaly
89,0,0.504449725151062,anomaly
90,0,0.49409568309783936,normal
91,0,0.4606606364250183,normal
92,0,0.4203833043575287,normal
93,0,0.39948979020118713,normal
94,0,0.3889722228050232,normal
95,0,0.4084993004798889,normal
96,0,0.4659302532672882,normal
97,0,0.5150903463363647,anomaly
98,0,0.5234204530715942,anomaly
99,0,0.5156984329223633,anomaly
100,0,0.5204923152923584,anomaly
101,0,0.5133918523788452,anomaly
102,0,0.5174059867858887,anomaly
103,0,0.5174674987792969,anomaly
104,0,0.5205183029174805,anomaly
105,0,0.5086181163787842,anomaly
106,0,0.5149332284927368,anomaly
107,0,0.5084009170532227,anomaly
108,0,0.5155344009399414,anomaly
109,0,0.5252723693847656,anomaly
110,0,0.5223368406295776,anomaly
111,0,0.5287350416183472,anomaly
112,0,0.4926739037036896,normal
113,0,0.46966463327407837,normal
114,0,0.4403112232685089,normal
115,0,0.40529417991638184,normal
116,0,0.3927079737186432,normal
117,0,0.38515010476112366,normal
118,0,0.3734239637851715,normal
119,0,0.38731643557548523,normal
120,0,0.42838621139526367,normal
121,0,0.47583281993865967,normal
122,0,0.516452431678772,anomaly
123,0,0.5212816596031189,anomaly
124,0,0.5107561945915222,anomaly
125,0,0.49348580837249756,normal
126,0,0.4718755781650543,normal
127,0,0.4441092014312744,normal
128,0,0.43144434690475464,normal
129,0,0.4550141394138336,normal
130,0,0.48111075162887573,normal
131,0,0.5016801357269287,anomaly
132,0,0.512481689453125,anomaly
133,0,0.5115855932235718,anomaly
134,0,0.5118584632873535,anomaly
135,0,0.5124844312667847,anomaly
136,0,0.5131868124008179,anomaly
137,0,0.5220689177513123,anomaly
138,0,0.5160407423973083,anomaly
139,0,0.5029392242431641,anomaly
140,0,0.5065207481384277,anomaly
141,0,0.5095800161361694,anomaly
142,0,0.5114149451255798,anomaly
143,0,0.5184850692749023,anomaly
144,0,0.5253967046737671,anomaly
145,0,0.5173075199127197,anomaly
146,0,0.5248075127601624,anomaly
147,0,0.5261342525482178,anomaly
148,0,0.5154896974563599,anomaly
149,0,0.516106367111206,anomaly
150,0,0.5156632661819458,anomaly
151,0,0.5063173174858093,anomaly
152,0,0.4740504026412964,normal
153,0,0.4341627359390259,normal
154,0,0.40409040451049805,normal
155,0,0.39410117268562317,normal
156,0,0.44209522008895874,normal
157,0,0.5051597356796265,anomaly
158,0,0.5195465087890625,anomaly
159,0,0.5240121483802795,anomaly
160,0,0.5255637168884277,anomaly
161,0,0.517198920249939,anomaly
162,0,0.516079306602478,anomaly
163,0,0.5032308101654053,anomaly
164,0,0.4674067199230194,normal
165,0,0.43082019686698914,normal
166,0,0.40520602464675903,normal
167,0,0.42241472005844116,normal
168,1,0.49420246481895447,normal
169,1,0.5222334265708923,anomaly
170,1,0.5265542268753052,anomaly
171,1,0.5241245627403259,anomaly
172,1,0.5243613719940186,anomaly
173,1,0.515765905380249,anomaly
174,1,0.5005112886428833,anomaly
175,0,0.4806210696697235,normal
176,0,0.45177924633026123,normal
177,0,0.4177444875240326,normal
178,0,0.39895325899124146,normal
179,0,0.38641175627708435,normal
180,0,0.38321107625961304,normal
181,0,0.38672804832458496,normal
182,0,0.38798773288726807,normal
183,0,0.38433536887168884,normal
184,0,0.3813784420490265,normal
185,0,0.38076382875442505,normal
186,0,0.3807068169116974,normal
187,0,0.3772355914115906,normal
188,0,0.3859913945198059,normal
189,0,0.4029766023159027,normal
190,0,0.42412611842155457,normal
191,0,0.45319661498069763,normal
192,0,0.5031979084014893,anomaly
193,0,0.5236302614212036,anomaly
194,0,0.5243487358093262,anomaly
195,0,0.5259799957275391,anomaly
196,0,0.5183061361312866,anomaly
197,0,0.5262435674667358,anomaly
198,0,0.5198304653167725,anomaly
199,0,0.5186448097229004,anomaly
200,0,0.5079898834228516,anomaly
201,0,0.500270664691925,anomaly
202,0,0.5074881315231323,anomaly
203,0,0.5131783485412598,anomaly
204,0,0.5193390846252441,anomaly
205,0,0.5268405079841614,anomaly
206,0,0.5172082185745239,anomaly
207,0,0.510226309299469,anomaly
208,0,0.505520761013031,anomaly
209,0,0.474893718957901,normal
210,0,0.43250295519828796,normal
211,0,0.40352728962898254,normal
212,0,0.3872402608394623,normal
213,0,0.37783464789390564,normal
214,0,0.3724762201309204,normal
215,0,0.39498987793922424,normal
216,0,0.45375317335128784,normal
217,0,0.5102916955947876,anomaly
218,0,0.526663064956665,anomaly
219,0,0.5256137847900391,anomaly
220,0,0.5239068269729614,anomaly
221,0,0.5251548290252686,anomaly
222,0,0.5296151638031006,anomaly
223,0,0.5262130498886108,anomaly
224,0,0.50539231300354,anomaly
225,0,0.5145429372787476,anomaly
226,0,0.5193347930908203,anomaly
227,0,0.49103567004203796,normal
228,0,0.4805010259151459,normal
229,0,0.4712151288986206,normal
230,0,0.48048391938209534,normal
231,0,0.48778143525123596,normal
232,0,0.4629756212234497,normal
233,0,0.43373557925224304,normal
234,0,0.4041495621204376,normal
235,0,0.3908768594264984,normal
236,0,0.3863845765590668,normal
237,0,0.3833478093147278,normal
238,0,0.3819926977157593,normal
239,0,0.3819188177585602,normal
240,0,0.40278711915016174,normal
241,0,0.4780697524547577,normal
242,0,0.5204917192459106,anomaly
243,0,0.5083537101745605,anomaly
244,0,0.49073076248168945,normal
245,0,0.4915071427822113,normal
246,0,0.49231597781181335,normal
247,0,0.4940633475780487,normal
248,0,0.5044282674789429,anomaly
