time_step,actual_label,prediction_probability,decision
1,0,0.35125651955604553,normal
2,0,0.2318650186061859,normal
3,0,0.2199876457452774,normal
4,0,0.23742473125457764,normal
5,0,0.23861785233020782,normal
6,0,0.22371427714824677,normal
7,0,0.22048452496528625,normal
8,0,0.22954021394252777,normal
9,0,0.2869042754173279,normal
10,0,0.29520925879478455,normal
11,0,0.27509498596191406,normal
12,0,0.23962929844856262,normal
13,0,0.23842328786849976,normal
14,0,0.26748618483543396,normal
15,0,0.27876466512680054,normal
16,0,0.26685434579849243,normal
17,0,0.2639757990837097,normal
18,0,0.31327900290489197,normal
19,0,0.4318755865097046,normal
20,0,0.3757123053073883,normal
21,0,0.2962968945503235,normal
22,0,0.32713449001312256,normal
23,0,0.4303989112377167,normal
24,0,0.5705833435058594,anomaly
25,0,0.4843265116214752,normal
26,0,0.3429514169692993,normal
27,0,0.2960263788700104,normal
28,0,0.37913191318511963,normal
29,0,0.37016764283180237,normal
30,0,0.3665025532245636,normal
31,0,0.31482261419296265,normal
32,0,0.3746951222419739,normal
33,0,0.5274293422698975,anomaly
34,0,0.5084198117256165,anomaly
35,0,0.5247746706008911,anomaly
36,0,0.3980661928653717,normal
37,0,0.3599167466163635,normal
38,0,0.3516704738140106,normal
39,0,0.3104735016822815,normal
40,0,0.30746716260910034,normal
41,0,0.38116148114204407,normal
42,0,0.5070281028747559,anomaly
43,0,0.47451651096343994,normal
44,0,0.35572701692581177,normal
45,0,0.30895617604255676,normal
46,0,0.3743986487388611,normal
47,0,0.416873037815094,normal
48,0,0.4300031065940857,normal
49,0,0.2975836992263794,normal
50,0,0.2520166039466858,normal
51,0,0.2770515978336334,normal
52,0,0.267627090215683,normal
53,0,0.25540947914123535,normal
54,0,0.2151780128479004,normal
55,0,0.23454205691814423,normal
56,0,0.27478304505348206,normal
57,0,0.25954192876815796,normal
58,0,0.30245232582092285,normal
59,0,0.24727758765220642,normal
60,0,0.22167366743087769,normal
61,0,0.21417003870010376,normal
62,0,0.20914100110530853,normal
63,0,0.20447269082069397,normal
64,0,0.21955987811088562,normal
65,0,0.2502950429916382,normal
66,0,0.2486090213060379,normal
67,0,0.23530933260917664,normal
68,0,0.21253228187561035,normal
69,0,0.23482964932918549,normal
70,0,0.24956022202968597,normal
71,0,0.28325238823890686,normal
72,0,0.28740641474723816,normal
73,0,0.24498309195041656,normal
74,0,0.28939089179039,normal
75,0,0.34155067801475525,normal
76,0,0.3403189778327942,normal
77,0,0.2874993681907654,normal
78,0,0.2753404378890991,normal
79,0,0.3179910182952881,normal
80,0,0.37873122096061707,normal
81,0,0.39751937985420227,normal
82,0,0.27896469831466675,normal
83,0,0.22344711422920227,normal
84,0,0.23373447358608246,normal
85,0,0.236860454082489,normal
86,0,0.25128039717674255,normal
87,0,0.21256141364574432,normal
88,0,0.22917763888835907,normal
89,0,0.26994946599006653,normal
90,0,0.26679787039756775,normal
91,0,0.32256653904914856,normal
92,0,0.23265929520130157,normal
93,0,0.2741810977458954,normal
94,0,0.3829043209552765,normal
95,0,0.43469399213790894,normal
96,0,0.44559597969055176,normal
97,0,0.2699725329875946,normal
98,0,0.34504345059394836,normal
99,0,0.5528391599655151,anomaly
100,0,0.6026326417922974,anomaly
101,0,0.6146917343139648,anomaly
102,0,0.36444342136383057,normal
103,0,0.2609114646911621,normal
104,0,0.265534907579422,normal
105,0,0.30008721351623535,normal
106,0,0.2496255487203598,normal
107,0,0.24342691898345947,normal
108,0,0.19750922918319702,normal
109,0,0.22634807229042053,normal
110,0,0.25252729654312134,normal
111,0,0.24603821337223053,normal
112,0,0.2700613737106323,normal
113,0,0.2085385024547577,normal
114,0,0.21027028560638428,normal
115,0,0.21632620692253113,normal
116,0,0.2153596729040146,normal
117,0,0.2237679809331894,normal
118,0,0.19629938900470734,normal
119,0,0.20768551528453827,normal
120,0,0.2479970008134842,normal
121,0,0.314866304397583,normal
122,0,0.4381278455257416,normal
123,0,0.4085375666618347,normal
124,0,0.28493353724479675,normal
125,0,0.2578520178794861,normal
126,0,0.35271722078323364,normal
127,0,0.487373948097229,normal
128,0,0.5767145156860352,anomaly
129,0,0.4701368808746338,normal
130,0,0.4071970582008362,normal
131,0,0.5185043811798096,anomaly
132,0,0.5559091567993164,anomaly
133,0,0.6241887807846069,anomaly
134,0,0.3823912739753723,normal
135,0,0.32469022274017334,normal
136,0,0.3685629367828369,normal
137,0,0.4329293966293335,normal
138,0,0.4420132637023926,normal
139,0,0.3088779151439667,normal
140,0,0.2292892038822174,normal
141,0,0.25002431869506836,normal
142,0,0.2828693687915802,normal
143,0,0.3073401153087616,normal
144,0,0.27836111187934875,normal
145,0,0.21329645812511444,normal
146,0,0.23847050964832306,normal
147,0,0.2546670436859131,normal
148,0,0.24550126492977142,normal
149,0,0.23390495777130127,normal
150,0,0.22014115750789642,normal
151,0,0.21255236864089966,normal
152,0,0.24347978830337524,normal
153,0,0.232260063290596,normal
154,0,0.2559128403663635,normal
155,0,0.2659725248813629,normal
156,0,0.31445613503456116,normal
157,0,0.32756417989730835,normal
158,0,0.2622459828853607,normal
159,0,0.31410640478134155,normal
160,0,0.23225727677345276,normal
161,0,0.2695637047290802,normal
162,0,0.2921086847782135,normal
163,0,0.3188360333442688,normal
164,0,0.254374235868454,normal
165,0,0.22276228666305542,normal
166,0,0.276008278131485,normal
167,0,0.3381989598274231,normal
168,0,0.3864332437515259,normal
169,0,0.2882259488105774,normal
170,0,0.21272921562194824,normal
171,0,0.2262396365404129,normal
172,0,0.21859025955200195,normal
173,0,0.23999032378196716,normal
174,0,0.23475325107574463,normal
175,0,0.22343699634075165,normal
176,0,0.26995041966438293,normal
177,0,0.33916670083999634,normal
178,0,0.4271107614040375,normal
179,0,0.30131995677948,normal
180,0,0.22463588416576385,normal
181,0,0.21892035007476807,normal
182,0,0.2601066827774048,normal
183,0,0.33157235383987427,normal
184,0,0.4064740836620331,normal
185,0,0.32445818185806274,normal
186,0,0.23337440192699432,normal
187,0,0.22861827909946442,normal
188,0,0.2680560052394867,normal
189,0,0.35469356179237366,normal
190,0,0.4137880802154541,normal
191,0,0.3601924777030945,normal
192,0,0.26495787501335144,normal
193,0,0.23690353333950043,normal
194,0,0.294207364320755,normal
195,0,0.47252124547958374,normal
196,0,0.5802253484725952,anomaly
197,0,0.6453944444656372,anomaly
198,0,0.5107083320617676,anomaly
199,0,0.31302496790885925,normal
200,0,0.24878114461898804,normal
201,0,0.28937089443206787,normal
202,0,0.40861308574676514,normal
203,0,0.6343352794647217,anomaly
204,0,0.7356071472167969,anomaly
205,0,0.7285405397415161,anomaly
206,0,0.658980131149292,anomaly
207,0,0.39622628688812256,normal
208,0,0.32412809133529663,normal
209,0,0.3430148959159851,normal
210,0,0.48599791526794434,normal
211,0,0.573051929473877,anomaly
212,0,0.5173142552375793,anomaly
213,0,0.36293572187423706,normal
214,0,0.2425769716501236,normal
215,0,0.22892624139785767,normal
216,0,0.26999813318252563,normal
217,0,0.3321245610713959,normal
218,0,0.4931415021419525,normal
219,0,0.4917668104171753,normal
220,0,0.4367424249649048,normal
221,0,0.34317418932914734,normal
222,0,0.2502745985984802,normal
223,0,0.24648994207382202,normal
224,0,0.2676343619823456,normal
225,0,0.3341214656829834,normal
226,0,0.4038636088371277,normal
227,0,0.5197089910507202,anomaly
228,0,0.5101019144058228,anomaly
229,0,0.4387706518173218,normal
230,0,0.2903776466846466,normal
231,0,0.22339554131031036,normal
232,0,0.2817971408367157,normal
233,0,0.4172251224517822,normal
234,0,0.6317524909973145,anomaly
235,0,0.6304911971092224,anomaly
236,0,0.36111578345298767,normal
237,0,0.23917803168296814,normal
238,0,0.2235637605190277,normal
239,0,0.2528347969055176,normal
240,0,0.4061584174633026,normal
241,0,0.5747971534729004,anomaly
242,0,0.6736398935317993,anomaly
243,0,0.6457033157348633,anomaly
244,0,0.4230656325817108,normal
245,0,0.2747097313404083,normal
246,0,0.24536608159542084,normal
247,0,0.26539167761802673,normal
248,0,0.3513930141925812,normal
249,0,0.5492552518844604,anomaly
250,0,0.6088809967041016,anomaly
251,0,0.6441044807434082,anomaly
252,0,0.5257638096809387,anomaly
253,0,0.3480316996574402,normal
254,0,0.30780813097953796,normal
255,0,0.3819354176521301,normal
256,0,0.4872340261936188,normal
257,0,0.6990038156509399,anomaly
258,0,0.7609742283821106,anomaly
259,0,0.8148412704467773,anomaly
260,0,0.777550458908081,anomaly
